# Attribute keys of go.opentelemetry.io/otel/semconv/v1.43.0, from module go.opentelemetry.io/otel v1.46.0.
# Columns: attribute<TAB>go constant.
elasticsearch.node.name	ElasticsearchNodeNameKey
enduser.id	EnduserIDKey
enduser.pseudo.id	EnduserPseudoIDKey
error.type	ErrorTypeKey
exception.message	ExceptionMessageKey
exception.stacktrace	ExceptionStacktraceKey
exception.type	ExceptionTypeKey
faas.coldstart	FaaSColdstartKey
faas.cron	FaaSCronKey
faas.document.collection	FaaSDocumentCollectionKey
faas.document.name	FaaSDocumentNameKey
faas.document.operation	FaaSDocumentOperationKey
faas.document.time	FaaSDocumentTimeKey
faas.instance	FaaSInstanceKey
faas.invocation_id	FaaSInvocationIDKey
faas.invoked_name	FaaSInvokedNameKey
faas.invoked_provider	FaaSInvokedProviderKey
faas.invoked_region	FaaSInvokedRegionKey
faas.max_memory	FaaSMaxMemoryKey
faas.name	FaaSNameKey
faas.time	FaaSTimeKey
faas.trigger	FaaSTriggerKey
faas.version	FaaSVersionKey
feature_flag.context.id	FeatureFlagContextIDKey
feature_flag.error.message	FeatureFlagErrorMessageKey
feature_flag.key	FeatureFlagKeyKey
feature_flag.provider.name	FeatureFlagProviderNameKey
feature_flag.result.reason	FeatureFlagResultReasonKey
feature_flag.result.value	FeatureFlagResultValueKey
feature_flag.result.variant	FeatureFlagResultVariantKey
feature_flag.set.id	FeatureFlagSetIDKey
feature_flag.version	FeatureFlagVersionKey
file.accessed	FileAccessedKey
file.attributes	FileAttributesKey
file.changed	FileChangedKey
file.created	FileCreatedKey
file.directory	FileDirectoryKey
file.extension	FileExtensionKey
file.fork_name	FileForkNameKey
file.group.id	FileGroupIDKey
file.group.name	FileGroupNameKey
file.inode	FileInodeKey
file.lock.mechanism	FileLockMechanismKey
file.lock.mode	FileLockModeKey
file.lock.type	FileLockTypeKey
file.mode	FileModeKey
file.modified	FileModifiedKey
file.name	FileNameKey
file.owner.id	FileOwnerIDKey
