hw.vendor	Development
ios.app.state	Development
jsonrpc.protocol.version	Development
jsonrpc.request.id	Development
k8s.cluster.name	Stable
k8s.cluster.uid	Stable
k8s.container.ephemeral_storage.fs_type	Development
k8s.container.name	Stable
k8s.container.restart_count	Stable
k8s.container.status.last_terminated_reason	Development
k8s.container.status.reason	Development
k8s.container.status.state	Development
k8s.cronjob.name	Stable
k8s.cronjob.uid	Stable
k8s.daemonset.name	Stable
k8s.daemonset.uid	Stable
k8s.deployment.name	Stable
k8s.deployment.uid	Stable
k8s.hpa.metric.type	Development
k8s.hpa.name	Development
k8s.hpa.scaletargetref.api_version	Development
k8s.hpa.scaletargetref.kind	Development
k8s.hpa.scaletargetref.name	Development
k8s.hpa.uid	Development
k8s.hugepage.size	Development
k8s.job.name	Stable
k8s.job.uid	Stable
k8s.namespace.name	Stable
k8s.namespace.phase	Development
k8s.node.condition.status	Development
k8s.node.condition.type	Development
k8s.node.name	Stable
k8s.node.system_container.name	Development
k8s.node.uid	Stable
k8s.persistentvolume.name	Development
k8s.persistentvolume.reclaim_policy	Development
k8s.persistentvolume.status.phase	Development
k8s.persistentvolume.uid	Development
k8s.persistentvolumeclaim.name	Development
k8s.persistentvolumeclaim.status.phase	Development
k8s.persistentvolumeclaim.uid	Development
k8s.pod.hostname	Stable
k8s.pod.ip	Stable
k8s.pod.name	Stable
k8s.pod.start_time	Stable
k8s.pod.status.phase	Development
k8s.pod.status.reason	Development
k8s.pod.uid	Stable
k8s.replicaset.name	Stable
k8s.replicaset.uid	Stable
k8s.replicationcontroller.name	Development
k8s.replicationcontroller.uid	Development
k8s.resourcequota.name	Development
k8s.resourcequota.resource_name	Development
k8s.resourcequota.uid	Development
k8s.service.endpoint.address_type	Development
k8s.service.endpoint.condition	Development
k8s.service.endpoint.zone	Development
k8s.service.name	Development
k8s.service.publish_not_ready_addresses	Development
k8s.service.traffic_distribution	Development
k8s.service.type	Development
k8s.service.uid	Development
k8s.statefulset.name	Stable
k8s.statefulset.uid	Stable
k8s.storageclass.name	Development
k8s.volume.name	Development
k8s.volume.type	Development
log.file.name	Development
log.file.name_resolved	Development
log.file.path	Development
log.file.path_resolved	Development
log.iostream	Development
log.record.original	Development
log.record.uid	Development
mainframe.lpar.name	Development
messaging.batch.message_count	Development
messaging.client.id	Development
messaging.consumer.group.name	Development
messaging.destination.anonymous	Development
messaging.destination.name	Development
messaging.destination.partition.id	Development
messaging.destination.subscription.name	Development
messaging.destination.template	Development
messaging.destination.temporary	Development
messaging.eventhubs.message.enqueued_time	Development
messaging.gcp_pubsub.message.ack_deadline	Development
messaging.gcp_pubsub.message.ack_id	Development
messaging.gcp_pubsub.message.delivery_attempt	Development
messaging.gcp_pubsub.message.ordering_key	Development
messaging.kafka.message.key	Development
messaging.kafka.message.tombstone	Development
messaging.kafka.offset	Development
messaging.message.body.size	Development
messaging.message.conversation_id	Development
messaging.message.envelope.size	Development
messaging.message.id	Development
messaging.operation.name	Development
messaging.operation.type	Development
messaging.rabbitmq.destination.routing_key	Development
messaging.rabbitmq.message.delivery_tag	Development
messaging.rocketmq.consumption_model	Development
messaging.rocketmq.message.delay_time_level	Development
messaging.rocketmq.message.delivery_timestamp	Development
messaging.rocketmq.message.group	Development
messaging.rocketmq.message.keys	Development
messaging.rocketmq.message.tag	Development
messaging.rocketmq.message.type	Development
messaging.rocketmq.namespace	Development
messaging.servicebus.disposition_status	Development
messaging.servicebus.message.delivery_count	Development
messaging.servicebus.message.enqueued_time	Development
messaging.system	Development
network.carrier.icc	Development
network.carrier.mcc	Development
network.carrier.mnc	Development
network.carrier.name	Development
network.connection.state	Development
network.connection.subtype	Development
network.connection.type	Development
network.interface.name	Development
network.io.direction	Release_Candidate
network.local.address	Stable
network.local.port	Stable
network.peer.address	Stable
network.peer.port	Stable
network.protocol.name	Stable
network.protocol.version	Stable
network.transport	Stable
network.type	Stable
nfs.operation.name	Development
nfs.server.repcache.status	Development
oci.manifest.digest	Development
onc_rpc.procedure.name	Development
onc_rpc.procedure.number	Development
onc_rpc.program.name	Development
onc_rpc.version	Development
